master_line,family,subfamily,category,product_id,description
Herramientas Industriales,21 HERRAMIENTAS Y EQ.  ELECTRICOS Y ACC.,"01 TALADROS, DESARMADORES ELECT. Y ACC.",TALADROS Y DESARMADORES ELECTRICOS,21010934,TALADRO DE BANCO DE 20MM  1 HP SAFARI ZJ4120F-F 
Herramientas Industriales,21 HERRAMIENTAS Y EQ.  ELECTRICOS Y ACC.,"01 TALADROS, DESARMADORES ELECT. Y ACC.",TALADROS Y DESARMADORES ELECTRICOS,21010935,"TALADRO PERCUTOR V.V 1010W 1/2"" (13MM) MAKITA HP2070F"
Herramientas Industriales,21 HERRAMIENTAS Y EQ.  ELECTRICOS Y ACC.,"01 TALADROS, DESARMADORES ELECT. Y ACC.",TALADROS Y DESARMADORES ELECTRICOS,21010936,"TALADRO PERCUTOR C/MALETIN MP V.V.R 1100 - 3000RPM 800W 1/2"" (13MM) BOSCH GSB 20-2 RE"
Herramientas Industriales,21 HERRAMIENTAS Y EQ.  ELECTRICOS Y ACC.,"01 TALADROS, DESARMADORES ELECT. Y ACC.",TALADROS Y DESARMADORES ELECTRICOS,21010937,"TALADRO ROTACION 2VELOC. 1100 - 3000RPM 800W 5/8"" (16MM) BOSCH GBM 16-2 RE"
Herramientas Industriales,21 HERRAMIENTAS Y EQ.  ELECTRICOS Y ACC.,"01 TALADROS, DESARMADORES ELECT. Y ACC.",TALADROS Y DESARMADORES ELECTRICOS,21010938,"TALADRO PERCUTOR 1100W 1/2"" (13MM) DEWALT DWD520"
Herramientas Industriales,21 HERRAMIENTAS Y EQ.  ELECTRICOS Y ACC.,"01 TALADROS, DESARMADORES ELECT. Y ACC.",TALADROS Y DESARMADORES ELECTRICOS,21010939,TALADRO FRESADOR DE COLUMNA 1100W  - 1.5HP A&V MOD. A&V40PC
Herramientas Industriales,21 HERRAMIENTAS Y EQ.  ELECTRICOS Y ACC.,"01 TALADROS, DESARMADORES ELECT. Y ACC.",TALADROS Y DESARMADORES ELECTRICOS,21010940,"TALADRO BASE MAGNETICA MANDRIL ACOPLE ROSCADO HEMBRA DE 1/2"" 1150W 2"" DEWALT DWE1622K"
Herramientas Industriales,21 HERRAMIENTAS Y EQ.  ELECTRICOS Y ACC.,"01 TALADROS, DESARMADORES ELECT. Y ACC.",TALADROS Y DESARMADORES ELECTRICOS,21010941,TALADRO BASE MAGNETICA 2V.V.R 1150W DEWALT D21620K 
Herramientas Industriales,21 HERRAMIENTAS Y EQ.  ELECTRICOS Y ACC.,"01 TALADROS, DESARMADORES ELECT. Y ACC.",TALADROS Y DESARMADORES ELECTRICOS,21010942,"TALADRO CON BASE MAGNETICA, WELDON 50MM(2"") 1150W MAKITA HB500"
Herramientas Industriales,21 HERRAMIENTAS Y EQ.  ELECTRICOS Y ACC.,"01 TALADROS, DESARMADORES ELECT. Y ACC.",TALADROS Y DESARMADORES ELECTRICOS,21010943,"TALADRO PERCUTOR 1/2 "" 12V + SET PUNTAS STANLEY SCH121S2KA-B2"
